"","sort(rowSums(as.matrix(term_freq_con)), decreasing = TRUE)"
"partnership",54
"principles",54
"pursue",54
"ready",54
"recipients",54
"task",54
"used",54
"academic",53
"adequate",53
"cepa",53
"certain",53
"concern",53
"country",53
"decade",53
"energy",53
"establish",53
"expenses",53
"great",53
"involve",53
"largest",53
"middle",53
"payment",53
"preparing",53
"raised",53
"schools",53
"significant",53
"subsidised",53
"urban",53
"assist",52
"cssa",52
"data",52
"downturn",52
"healthy",52
"national",52
"short",52
"standards",52
"studies",52
"taken",52
"treatment",52
"arrangement",51
"day",51
"earlier",51
"estimates",51
"innovative",51
"money",51
"progress",51
"restructuring",51
"room",51
"source",51
"tsunami",51
"without",51
"announce",50
"april",50
"china",50
"concessions",50
"east",50
"inject",50
"light",50
"like",50
"offices",50
"percentage",50
"plans",50
"secondary",50
"smart",50
"types",50
"underlying",50
"workforce",50
"although",49
"apply",49
"consumer",49
"kai",49
"primary",49
"response",49
"serve",49
"tak",49
"alleviate",48
"available",48
"cities",48
"close",48
"earmark",48
"eight",48
"electronic",48
"grant",48
"participation",48
"port",48
"reached",48
"reserve",48
"revision",48
"stock",48
"whether",48
"advantage",47
"common",47
"currently",47
"especially",47
"facilitating",47
"facing",47
"heavily",47
"list",47
"matching",47
"outside",47
"premium",47
"technologies",47
"testing",47
"universities",47
"along",46
"back",46
"belt",46
"carry",46
"consensus",46
"edge",46
"join",46
"kowloon",46
"manner",46
"residents",46
"upgrade",46
"besides",45
"corporate",45
"european",45
"highly",45
"homes",45
"issues",45
"madam",45
"pillar",45
"positive",45
"procedures",45
"process",45
"raising",45
"received",45
"recently",45
"said",45
"space",45
"upgrading",45
"vibrant",45
"affected",44
"boost",44
"date",44
"employees",44
"fluctuations",44
"knowledge",44
"maritime",44
"offering",44
"proactive",44
"product",44
"requirements",44
"risks",44
"started",44
"turn",44
"aged",43
"arising",43
"dedicated",43
"deficits",43
"enhancement",43
"expanding",43
"fee",43
"hand",43
"human",43
"january",43
"latest",43
"let",43
"listing",43
"meeting",43
"mortgage",43
"top",43
"waste",43
"younger",43
"achieved",42
"aviation",42
"board",42
"closely",42
"crises",42
"dare",42
"decades",42
"determination",42
"developed",42
"digital",42
"integration",42
"law",42
"manufacturing",42
"mentioned",42
"nurture",42
"parents",42
"provides",42
"reducing",42
"revenues",42
"seen",42
"stay",42
"terminal",42
"assets",41
"contribute",41
"estate",41
"handling",41
"huge",41
"leading",41
"namely",41
"notices",41
"remains",41
"scope",41
"securities",41
"strategic",41
"yearonyear",41
"amid",40
"corporation",40
"europe",40
"generally",40
"helping",40
"institutional",40
"issued",40
"link",40
"mutual",40
"normal",40
"ordinance",40
"owners",40
"parks",40
"particularly",40
"play",40
"recommendations",40
"relatively",40
"severe",40
"steady",40
"structural",40
"uncertainties",40
"unique",40
"agreement",39
"commence",39
"committed",39
"difficult",39
"effectively",39
"endeavour",39
"exploring",39
"fair",39
"fiveyear",39
"furthermore",39
"lead",39
"lives",39
"looking",39
"mainlands",39
"mobility",39
"networks",39
"opening",39
"political",39
"remained",39
"retirement",39
"specific",39
"status",39
"sustained",39
"thank",39
"transactions",39
"treasury",39
"university",39
"wan",39
"according",38
"allocation",38
"allowances",38
"considering",38
"continuous",38
"extended",38
"lantau",38
"later",38
"levels",38
"productivity",38
"prospects",38
"railway",38
"rising",38
"speech",38
"substantial",38
"thus",38
"across",37
"built",37
"certification",37
"consolidate",37
"cyberport",37
"delivery",37
"etc",37
"export",37
"introducing",37
"legal",37
"maximum",37
"north",37
"options",37
"participate",37
"payable",37
"professionals",37
"socioeconomic",37
"staff",37
"subsidies",37
"timely",37
"understanding",37
"vision",37
"worlds",37
"adjustment",36
"ago",36
"approximately",36
"authorities",36
"bear",36
"behind",36
"budgets",36
"chain",36
"cope",36
"created",36
"direct",36
"exhibition",36
"flows",36
"foreign",36
"harbourfront",36
"individuals",36
"knowledgebased",36
"led",36
"legco",36
"mechanism",36
"mental",36
"pool",36
"relieve",36
"robust",36
"structure",36
"tap",36
"tenants",36
"traffic",36
"agreements",35
"annum",35
"benefiting",35
"bringing",35
"commenced",35
"discussions",35
"dollar",35
"electricity",35
"experienced",35
"fell",35
"grew",35
"loans",35
"momentum",35
"prepared",35
"recorded",35
"reduced",35
"reflected",35
"regions",35
"report",35
"responsibility",35
"strategies",35
"tseung",35
"adjustments",34
"adopted",34
"avoid",34
"boundary",34
"came",34
"equal",34
"essential",34
"exercise",34
"extra",34
"feel",34
"grow",34
"harbour",34
"internship",34
"main",34
"overcome",34
"quarters",34
"rent",34
"rental",34
"resolution",34
"rest",34
"safety",34
"scheduled",34
"simple",34
"single",34
"sme",34
"subsidise",34
"tackle",34
"throughout",34
"tuen",34
"worked",34
"affect",33
"almost",33
"approval",33
"capable",33
"clear",33
"continuously",33
"crucial",33
"decided",33
"distribution",33
"final",33
"flow",33
"gross",33
"identify",33
"injection",33
"kwan",33
"landscape",33
"operators",33
"organise",33
"pace",33
"plant",33
"progressively",33
"record",33
"secure",33
"using",33
"youth",33
"attracting",32
"banking",32
"bright",32
"creativity",32
"crossboundary",32
"debt",32
"detailed",32
"developments",32
"effort",32
"equity",32
"exchanges",32
"fact",32
"fashion",32
"fintech",32
"flexibility",32
"grants",32
"latter",32
"rather",32
"receive",32
"recognition",32
"renewal",32
"stimulus",32
"visit",32
"athletes",31
"coupled",31
"dependent",31
"diesel",31
"direction",31
"driving",31
"effects",31
"equipment",31
"focus",31
"fostering",31
"fruits",31
"gst",31
"impetus",31
"largescale",31
"legislation",31
"listed",31
"lowincome",31
"needy",31
"nevertheless",31
"purchase",31
"regards",31
"registered",31
"shortly",31
"significantly",31
"tertiary",31
"uphold",31
"upward",31
"wider",31
"action",30
"appropriation",30
"benefits",30
"circumstances",30
"conducive",30
"core",30
"cruise",30
"drive",30
"earnings",30
"exhibitions",30
"faced",30
"growing",30
"hearts",30
"held",30
"increases",30
"liquidity",30
"look",30
"macao",30
"member",30
"november",30
"prosperous",30
"rateable",30
"regarding",30
"settlement",30
"shenzhen",30
"signed",30
"skills",30
"sources",30
"vocational",30
"volatility",30
"beyond",29
"consult",29
"continuing",29
"credit",29
"currentterm",29
"draw",29
"easing",29
"field",29
"hkstpc",29
"inflationary",29
"integrated",29
"investments",29
"island",29
"items",29
"mature",29
"others",29
"postsecondary",29
"prudent",29
"reserved",29
"resilient",29
"scientific",29
"transportation",29
"travel",29
"administration",28
"cash",28
"closer",28
"complete",28
"concessionary",28
"conducting",28
"emerged",28
"generate",28
"initial",28
"keen",28
"maintained",28
"meanwhile",28
"monthly",28
"neighbouring",28
"objectives",28
"october",28
"priority",28
"reinforce",28
"slowdown",28
"spirit",28
"sustainability",28
"thanks",28
"trades",28
"administrative",27
"agree",27
"beds",27
"broaden",27
"citizen",27
"conservation",27
"corporations",27
"countrys",27
"courses",27
"december",27
"discipline",27
"enterprise",27
"facilitates",27
"follow",27
"intellectual",27
"invite",27
"keeping",27
"maintenance",27
"mun",27
"option",27
"preserve",27
"purpose",27
"rail",27
"sales",27
"scale",27
"seeking",27
"selfreliance",27
"stabilise",27
"steadily",27
"suggested",27
"tin",27
"victoria",27
"voucher",27
"ability",26
"asean",26
"bureaux",26
"communitys",26
"coordinate",26
"decline",26
"deflation",26
"directions",26
"funded",26
"heavy",26
"hectares",26
"liberalisation",26
"longer",26
"medicine",26
"never",26
"nine",26
"offered",26
"prd",26
"premier",26
"safeguard",26
"seize",26
"south",26
"studying",26
"sufficient",26
"sum",26
"taiwan",26
"targeted",26
"tobacco",26
"volatile",26
"arrivals",25
"became",25
"brand",25
"bridge",25
"charging",25
"commissioning",25
"concluding",25
"connect",25
"consideration",25
"consolidating",25
"continues",25
"contribution",25
"drop",25
"drugs",25
"excellence",25
"facilitation",25
"fruit",25
"going",25
"internet",25
"leads",25
"love",25
"mandatory",25
"mode",25
"ocean",25
"onestop",25
"rapidly",25
"rebound",25
"remarks",25
"resilience",25
"returning",25
"selffinancing",25
"sharing",25
"show",25
"shui",25
"speed",25
"stronger",25
"theme",25
"vigorously",25
"abundant",24
"accordance",24
"achievements",24
"adjust",24
"aims",24
"case",24
"changing",24
"comes",24
"commitments",24
"conflicts",24
"contain",24
"decrease",24
"examine",24
"excessive",24
"exemption",24
"fall",24
"governance",24
"granted",24
"greatly",24
"ground",24
"hkia",24
"hktb",24
"increasingly",24
"limits",24
"matter",24
"mpf",24
"narrow",24
"nominal",24
"operate",24
"operational",24
"parent",24
"perspective",24
"previous",24
"ratio",24
"rational",24
"rights",24
"rose",24
"september",24
"shanghai",24
"shows",24
"solutions",24
"statutory",24
"steering",24
"suggestions",24
"sustain",24
"territory",24
"ties",24
"vehicle",24
"visitor",24
"wai",24
"wide",24
"worth",24
"ample",23
"attractions",23
"bank",23
"car",23
"career",23
"carefully",23
"consecutive",23
"countercyclical",23
"coverage",23
"daily",23
"demonstrates",23
"duties",23
"expanded",23
"express",23
"formulating",23
"futures",23
"highest",23
"hkmc",23
"households",23
"likely",23
"manage",23
"might",23
"package",23
"practitioners",23
"qualifications",23
"reflects",23
"ride",23
"serious",23
"simply",23
"strength",23
"striving",23
"student",23
"submit",23
"trial",23
"allocating",22
"assetprice",22
"batch",22
"bubbles",22
"buses",22
"capitalise",22
"century",22
"chai",22
"challenge",22
"chung",22
"covering",22
"creation",22
"cumulative",22
"designated",22
"disability",22
"double",22
"dropped",22
"drug",22
"eventually",22
"exceeded",22
"expectations",22
"extension",22
"flexible",22
"fresh",22
"generated",22
"get",22
"giving",22
"headline",22
"heritage",22
"ibond",22
"investor",22
"itf",22
"japan",22
"july",22
"launching",22
"mid",22
"mind",22
"nation",22
"nurturing",22
"ones",22
"online",22
"onwards",22
"optimistic",22
"outstanding",22
"pointed",22
"posts",22
"prepare",22
"prevailing",22
"sentiment",22
"similar",22
"size",22
"state",22
"stimulate",22
"technological",22
"though",22
"trust",22
"tsing",22
"ura",22
"uses",22
"violence",22
"wage",22
"went",22
"yuen",22
"abolition",21
"achieving",21
"advisory",21
"alone",21
"amounted",21
"annually",21
"brighter",21
"container",21
"customs",21
"cut",21
"discuss",21
"diversification",21
"drawing",21
"endmarch",21
"engineering",21
"ensuring",21
"erb",21
"former",21
"formulate",21
"front",21
"helped",21
"hotels",21
"incubation",21
"kept",21
"mega",21
"outbreak",21
"peak",21
"perseverance",21
"power",21
"practice",21
"qualified",21
"recession",21
"regulation",21
"remaining",21
"renminbi",21
"rooms",21
"round",21
"savings",21
"shortage",21
"solve",21
"stand",21
"startup",21
"talents",21
"technical",21
"tenacity",21
"traditional",21
"tung",21
"unemployed",21
"voluntary",21
"waive",21
"wish",21
"worldclass",21
"actual",20
"believed",20
"capability",20
"climate",20
"concept",20
"conducted",20
"constraints",20
"cuts",20
"demonstrate",20
"devote",20
"discussion",20
"enabling",20
"exceed",20
"fate",20
"forge",20
"forwardlooking",20
"globalisation",20
"greatest",20
"hit",20
"hospitals",20
"involved",20
"june",20
"justice",20
"kok",20
"late",20
"monitor",20
"needed",20
"optimise",20
"participating",20
"partners",20
"pearl",20
"poor",20
"presented",20
"protect",20
"read",20
"relax",20
"river",20
"rolled",20
"shopping",20
"stakeholders",20
"supervision",20
"tourist",20
"town",20
"venture",20
"volume",20
"vouchers",20
"wellbeing",20
"women",20
"applied",19
"asked",19
"carried",19
"cars",19
"cases",19
"choice",19
"commerce",19
"counter",19
"crossborder",19
"deal",19
"delta",19
"establishing",19
"ethnic",19
"exceptional",19
"findings",19
"forth",19
"freedom",19
"grasp",19
"hands",19
"hardship",19
"hour",19
"infrastructural",19
"inland",19
"instead",19
"joint",19
"natural",19
"negotiations",19
"points",19
"pressing",19
"promotional",19
"prosperity",19
"reindustrialisation",19
"reinforcing",19
"relationship",19
"release",19
"released",19
"resolved",19
"restore",19
"returns",19
"rich",19
"saw",19
"sfc",19
"shared",19
"shipping",19
"slightly",19
"subvention",19
"takes",19
"teaching",19
"threeyear",19
"trillion",19
"turmoil",19
"vibrancy",19
"affairs",18
"amendment",18
"appreciate",18
"attention",18
"cater",18
"catering",18
"considerable",18
"contributing",18
"contributions",18
"convictions",18
"difficulty",18
"diverse",18
"employ",18
"enormous",18
"extending",18
"flat",18
"football",18
"fulfil",18
"globally",18
"gradual",18
"handle",18
"ideal",18
"image",18
"incentive",18
"includes",18
"indicated",18
"inevitably",18
"issuing",18
"jointly",18
"lay",18
"least",18
"leave",18
"leisure",18
"links",18
"lived",18
"macro",18
"macroeconomic",18
"man",18
"matters",18
"mediumsized",18
"modest",18
"moving",18
"ongoing",18
"operations",18
"paying",18
"pays",18
"platforms",18
"preprimary",18
"preserving",18
"proportion",18
"publicity",18
"remarkable",18
"resolve",18
"retraining",18
"reviewing",18
"reviving",18
"roll",18
"roots",18
"rule",18
"surge",18
"territories",18
"tomorrow",18
"tong",18
"took",18
"tough",18
"transformation",18
"ups",18
"week",18
"yield",18
"accordingly",17
"active",17
"add",17
"added",17
"alltime",17
"artists",17
"attracted",17
"aware",17
"bands",17
"benefited",17
"bid",17
"blueprint",17
"brands",17
"broadening",17
"bubble",17
"cantonese",17
"capabilities",17
"caused",17
"characteristics",17
"cic",17
"clearly",17
"clinical",17
"company",17
"composite",17
"considered",17
"coordination",17
"councils",17
"dealt",17
"decision",17
"disabled",17
"disneyland",17
"donations",17
"downs",17
"enjoys",17
"exceeds",17
"extremely",17
"facility",17
"faster",17
"financially",17
"firm",17
"form",17
"foundations",17
"fundamentals",17
"gain",17
"gba",17
"graduates",17
"grandparents",17
"grass",17
"hardware",17
"helps",17
"host",17
"immediately",17
"index",17
"institute",17
"internal",17
"kwun",17
"learn",17
"minimum",17
"near",17
"negative",17
"nonetheless",17
"organisation",17
"overnight",17
"paid",17
"passengers",17
"peaks",17
"plenty",17
"pluralistic",17
"popular",17
"preliminary",17
"preparation",17
"pressures",17
"priorities",17
"produce",17
"ranked",17
"relocation",17
"repayment",17
"replacement",17
"represents",17
"reunification",17
"right",17
"save",17
"southeast",17
"throughput",17
"transaction",17
"transfer",17
"transformed",17
"twoway",17
"uncertain",17
"united",17
"unleash",17
"uuu",17
"western",17
"worldwide",17
"accounted",16
"act",16
"affordability",16
"amounting",16
"artificial",16
"biggest",16
"careers",16
"chance",16
"channels",16
"clusters",16
"complement",16
"comprising",16
"concerted",16
"considerations",16
"degree",16
"directly",16
"discussing",16
"encouraged",16
"ends",16
"engaging",16
"examples",16
"exceeding",16
"expressed",16
"falling",16
"follows",16
"forces",16
"functions",16
"goes",16
"grown",16
"harmonious",16
"hold",16
"ideas",16
"import",16
"inbound",16
"india",16
"kongzhuhaimacao",16
"laboratories",16
"ladder",16
"lease",16
"leveraging",16
"licence",16
"lotteries",16
"mark",16
"mobile",16
"modern",16
"net",16
"ngos",16
"person",16
"plastic",16
"playing",16
"pledged",16
"positioning",16
"pragmatism",16
"prevent",16
"profound",16
"promising",16
"pursuing",16
"ranks",16
"receiving",16
"recycling",16
"regular",16
"relations",16
"resolving",16
"resource",16
"respond",16
"resume",16
"safeguarding",16
"selected",16
"ship",16
"sides",16
"slowing",16
"strict",16
"successive",16
"sulphur",16
"targets",16
"taxation",16
"tender",16
"thrive",16
"todays",16
"tonnes",16
"wellestablished",16
"adjusted",15
"admission",15
"advance",15
"adversity",15
"affordable",15
"allowed",15
"amendments",15
"annuity",15
"associated",15
"august",15
"awareness",15
"background",15
"boosting",15
"borne",15
"businessmen",15
"call",15
"calls",15
"cause",15
"clearing",15
"commissioned",15
"comprises",15
"concluded",15
"conference",15
"connection",15
"considerably",15
"consolidation",15
"convention",15
"costing",15
"diseases",15
"ecosystem",15
"employers",15
"engaged",15
"entering",15
"environmentfriendly",15
"estates",15
"ever",15
"feet",15
"forecasts",15
"fundamental",15
"grassroots",15
"happiness",15
"headquarters",15
"hectic",15
"highend",15
"hktdc",15
"incurred",15
"instruments",15
"integrate",15
"issuers",15
"kwai",15
"leaders",15
"leverage",15
"levy",15
"location",15
"lose",15
"manufacturers",15
"marks",15
"material",15
"minorities",15
"moderate",15
"motherland",15
"multinational",15
"nations",15
"notable",15
"note",15
"novel",15
"offers",15
"opinions",15
"organising",15
"otherwise",15
"outpatient",15
"participants",15
"parts",15
"passenger",15
"perfectly",15
"premises",15
"proper",15
"qualifying",15
"reflecting",15
"require",15
"returned",15
"roads",15
"rounds",15
"sar",15
"saying",15
"scholarships",15
"section",15
"shocks",15
"showcase",15
"storm",15
"subvented",15
"suffering",15
"temporary",15
"trends",15
"turbulence",15
"voices",15
"addressed",14
"afford",14
"agreed",14
"amounts",14
"announcement",14
"antiepidemic",14
"applicants",14
"argue",14
"assess",14
"association",14
"attractiveness",14
"awards",14
"bags",14
"bodies",14
"cancer",14
"causing",14
"chau",14
"chinas",14
"chosen",14
"cleaner",14
"clearance",14
"commensurate",14
"concrete",14
"constructive",14
"contributed",14
"covers",14
"deposits",14
"diversity",14
"downward",14
"economically",14
"employing",14
"encountered",14
"endowment",14
"enterprising",14
"etfs",14
"expedite",14
"figures",14
"films",14
"foregoing",14
"fulltime",14
"grade",14
"guidelines",14
"handled",14
"hinterland",14
"immediate",14
"impacted",14
"implications",14
"influenza",14
"invited",14
"lcsd",14
"lending",14
"lesson",14
"liabilities",14
"licences",14
"longerterm",14
"loss",14
"maturity",14
"media",14
"multiple",14
"nature",14
"nondomestic",14
"optimal",14
"paper",14
"periods",14
"posed",14
"practices",14
"processing",14
"provident",14
"providers",14
"prudently",14
"published",14
"quantitative",14
"quick",14
"rating",14
"really",14
"rebate",14
"reference",14
"regained",14
"regulators",14
"residing",14
"responsible",14
"restrictions",14
"resulting",14
"sewage",14
"sovereign",14
"stabilising",14
"stance",14
"strived",14
"successful",14
"susceptible",14
"talented",14
"teams",14
"trainees",14
"transparency",14
"try",14
"unchanged",14
"upturn",14
"user",14
"vast",14
"waiting",14
"waiving",14
"walks",14
"worldrenowned",14
"adhere",13
"advancement",13
"affecting",13
"afraid",13
"alcoholic",13
"avoidance",13
"beginning",13
"belief",13
"bickering",13
"biotechnology",13
"blow",13
"busiest",13
"buyers",13
"choose",13
"class",13
"combating",13
"commodity",13
"competitions",13
"component",13
"concerns",13
"consistent",13
"conversion",13
"convinced",13
"cosmopolitan",13
"covered",13
"cyber",13
"debate",13
"deposit",13
"diversify",13
"eighth",13
"encounter",13
"engage",13
"entrepreneurs",13
"extensive",13
"extensively",13
"fairness",13
"fairs",13
"find",13
"formation",13
"gas",13
"geographical",13
"glad",13
"goal",13
"guangzhoushenzhenhong",13
"highvalue",13
"historic",13
"identified",13
"imported",13
"incidents",13
"independent",13
"intelligence",13
"lag",13
"language",13
"larger",13
"leasing",13
"lessen",13
"model",13
"obliged",13
"oil",13
"opened",13
"opera",13
"parallel",13
"personnel",13
"pledge",13
"premise",13
"province",13
"reclamation",13
"recruitment",13
"redistribution",13
"relating",13
"represented",13
"responsive",13
"retain",13
"sars",13
"securitisation",13
"settling",13
"shown",13
"software",13
"specialist",13
"street",13
"supplement",13
"supported",13
"tai",13
"test",13
"tier",13
"valuable",13
"want",13
"won",13
"abroad",12
"accommodation",12
"aircraft",12
"argument",12
"asiapacific",12
"asias",12
"assisting",12
"attached",12
"backgrounds",12
"berth",12
"born",12
"chronically",12
"collaborate",12
"combined",12
"constructing",12
"consultations",12
"contract",12
"courage",12
"criteria",12
"days",12
"deductions",12
"defined",12
"depending",12
"devb",12
"developers",12
"devices",12
"dignity",12
"dispute",12
"done",12
"effectiveness",12
"element",12
"emissions",12
"enables",12
"enrich",12
"entire",12
"euro",12
"expertise",12
"factor",12
"figure",12
"frt",12
"fulfilment",12
"grandparent",12
"hkex",12
"household",12
"identity",12
"immune",12
"impose",12
"injected",12
"involves",12
"islamic",12
"jurisdictions",12
"largely",12
"liaison",12
"licensing",12
"limit",12
"linked",12
"little",12
"lok",12
"london",12
"majority",12
"marginal",12
"memory",12
"mild",12
"multilateral",12
"municipal",12
"museum",12
"nursing",12
"optimising",12
"outline",12
